order_id,food_name,price,cost,margin,margin_percentage,margin_per,rating,cuisine,city,category,quantity,timestamp,confidence
100000,Onion Rings,286,170.04,115.96,40.55,347.88,4.35,South Indian,Kolkata,Dog,3,2026-03-19 11:37:00,0.0
100000,Butter Naan,304,197.11,106.89,35.16,213.78,4.51,Mexican,Kolkata,Dog,2,2026-03-19 11:37:00,0.0
100000,Veg Cutlet,267,170.35,96.65,36.2,289.95000000000005,3.99,Chinese,Kolkata,Risk,3,2026-03-19 11:37:00,0.0
100000,Chilli Paneer,262,162.44,99.56,38.0,99.56,3.97,Mexican,Kolkata,Star,1,2026-03-19 11:37:00,0.0
100001,Hakka Noodles,82,46.48,35.52,43.32,35.52,4.24,Italian,Bangalore,Star,1,2026-03-20 02:36:00,0.7129963898916968
100001,Veg Manchurian,391,160.39,230.61,58.98,691.83,4.87,Italian,Bangalore,Risk,3,2026-03-20 02:36:00,0.6991150442477877
100002,Schezwan Noodles,130,83.73,46.27,35.59,138.81,3.83,North Indian,Mumbai,Hidden Star,3,2026-03-21 04:38:00,0.0
100002,Falooda,226,133.56,92.44,40.9,184.88,4.12,Fast Food,Mumbai,Risk,2,2026-03-21 04:38:00,0.0
100002,Pasta Alfredo,130,69.13,60.870000000000005,46.82,60.870000000000005,4.21,North Indian,Mumbai,Risk,1,2026-03-21 04:38:00,0.0
100003,Strawberry Shake,82,49.73,32.27,39.35,96.81,4.42,Fast Food,Bangalore,Dog,3,2026-03-03 17:05:00,0.0
100004,Latte,158,89.86,68.14,43.13,204.42,4.17,Street Food,Delhi,Star,3,2026-03-18 20:09:00,0.0
100004,Chole Bhature,281,143.58,137.42,48.9,412.26,4.43,North Indian,Delhi,Hidden Star,3,2026-03-18 20:09:00,0.0
100004,Ice Cream Chocolate,188,120.26,67.74,36.03,203.22,3.72,Italian,Delhi,Star,3,2026-03-18 20:09:00,0.0
100004,Rajma Chawal,167,69.3,97.7,58.5,293.1,4.49,South Indian,Delhi,Star,3,2026-03-18 20:09:00,0.0
100005,Hakka Noodles,82,46.48,35.52,43.32,106.56,4.24,Italian,Delhi,Star,3,2026-03-05 10:37:00,0.7129963898916968
100005,Veg Manchurian,391,160.39,230.61,58.98,691.83,4.87,Italian,Delhi,Risk,3,2026-03-05 10:37:00,0.6991150442477877
